Company name,ASX code,GICS industry group
"AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED",AYK,"Not Applic"
"AUSTRALIAN MASTERS YIELD FUND NO 5 LIMITED",AYZ,"Not Applic"
"AUSTRALIAN MINES LIMITED",AUZ,"Materials"
"AUSTRALIAN PACIFIC COAL LIMITED",AQC,"Materials"
"AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED",API,"Health Care Equipment & Services"
"AUSTRALIAN POTASH LIMITED",APC,"Materials"
"AUSTRALIAN RURAL CAPITAL LIMITED",ARC,"Diversified Financials"
"AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED",AUI,"Diversified Financials"
"AUSTRALIAN UNITY LIMITED",AYU,"Not Applic"
"AUSTRALIAN UNITY OFFICE FUND",AOF,"Real Estate"
"AUSTRALIAN VANADIUM LIMITED",AVL,"Materials"
"AUSTRALIAN VINTAGE LTD",AVG,"Food, Beverage & Tobacco"
"AUSTRALIAN WHISKY HOLDINGS LIMITED",AWY,"Food, Beverage & Tobacco"
"AUSTRALIS OIL & GAS LIMITED",ATS,"Energy"
"AUSTSINO RESOURCES GROUP LIMITED",ANS,"Materials"
"AUSWIDE BANK LTD",ABA,"Banks"
"AUTHORISED INVESTMENT FUND LIMITED",AIY,"Not Applic"
"AUTOMOTIVE HOLDINGS GROUP LIMITED.",AHG,"Retailing"
"AUTOMOTIVE SOLUTIONS GROUP LTD",4WD,"Automobiles & Components"
"AUTOSPORTS GROUP LIMITED.",ASG,"Retailing"
"AVALON MINERALS LIMITED",AVI,"Materials"
"AVANCO RESOURCES LIMITED",AVB,"Materials"
"AVENIRA LIMITED",AEV,"Materials"
"AVENTUS RETAIL PROPERTY FUND",AVN,"Real Estate"
"AVEO GROUP",AOG,"Real Estate"
"AVIRA ENERGY LIMITED",AVW,"Materials"
"AVITA MEDICAL LTD",AVH,"Pharmaceuticals, Biotechnology & Life Sciences"
"AVJENNINGS LIMITED",AVJ,"Real Estate"
"AVZ MINERALS LIMITED",AVZ,"Materials"
"AWE LIMITED",AWE,"Energy"
"AXA",AXJ,"Not Applic"
"AXIOM MINING LIMITED",AVQ,"Materials"
"AXIOM PROPERTIES LIMITED",AXI,"Real Estate"
"AXSESSTODAY LIMITED",AXL,"Diversified Financials"
"AXXIS TECHNOLOGY GROUP LTD",AYG,"Software & Services"
"AZONTO PETROLEUM LTD",APY,"Energy"
"AZUMAH RESOURCES LIMITED",AZM,"Materials"
"AZURE HEALTHCARE LIMITED",AZV,"Health Care Equipment & Services"
"AZURE MINERALS LIMITED",AZS,"Materials"
"BABY BUNTING GROUP LIMITED",BBN,"Retailing"
"BAILADOR TECHNOLOGY INVESTMENTS LIMITED",BTI,"Diversified Financials"
"BANK OF QUEENSLAND LIMITED.",BOQ,"Banks"
"BANNERMAN RESOURCES LIMITED",BMN,"Energy"
"BAPCOR LIMITED",BAP,"Retailing"
"BARAKA ENERGY & RESOURCES LIMITED",BKP,"Energy"
"BARALABA COAL COMPANY LIMITED",BCL,"Energy"
"BARD1 LIFE SCIENCES LIMITED",BD1,"Materials"
"BARRA RESOURCES LIMITED",BAR,"Materials"
"BARRACK ST INVESTMENTS LIMITED",BST,"Not Applic"
"BASE RESOURCES LIMITED",BSE,"Materials"
"BASS METALS LTD",BSM,"Materials"
"BASS OIL LIMITED",BAS,"Energy"
"BASSARI RESOURCES LIMITED",BSR,"Materials"
"BATHURST RESOURCES LIMITED.",BRL,"Materials"
"BATTERY MINERALS LIMITED",BAT,"Materials"
"BAUMART HOLDINGS LIMITED",BMH,"Capital Goods"
"BAUXITE RESOURCES LIMITED",BAU,"Materials"
"BBX MINERALS LIMITED",BBX,"Materials"
"BC IRON LIMITED",BCI,"Materials"
"BCD RESOURCES NL",BCD,"Materials"
"BEACH ENERGY LIMITED",BPT,"Energy"
"BEACON LIGHTING GROUP LIMITED",BLX,"Retailing"
"BEACON MINERALS LIMITED",BCN,"Materials"
"BEADELL RESOURCES LIMITED",BDR,"Materials"
"BEGA CHEESE LIMITED",BGA,"Food, Beverage & Tobacco"
"BELL FINANCIAL GROUP LIMITED",BFG,"Diversified Financials"
"BELLAMY'S AUSTRALIA LIMITED",BAL,"Food, Beverage & Tobacco"
"BENDIGO AND ADELAIDE BANK LIMITED",BEN,"Banks"
"BENITEC BIOPHARMA LIMITED",BLT,"Pharmaceuticals, Biotechnology & Life Sciences"
"BENJAMIN HORNIGOLD LIMITED",BHD,"Not Applic"
"BENTLEY CAPITAL LIMITED",BEL,"Diversified Financials"
"BERKELEY ENERGIA LIMITED",BKY,"Energy"
"BERKUT MINERALS LIMITED",BMT,"Materials"
"BESTON GLOBAL FOOD COMPANY LIMITED",BFC,"Food, Beverage & Tobacco"
"BEYOND INTERNATIONAL LIMITED",BYI,"Media"
"BHP BILLITON LIMITED",BHP,"Materials"
"BIDENERGY LIMITED",BID,"Software & Services"
"BIG RIVER INDUSTRIES LIMITED",BRI,"Materials"
"BIG UN LIMITED",BIG,"Software & Services"
"BIGTINCAN HOLDINGS LIMITED",BTH,"Software & Services"
"BILLABONG INTERNATIONAL LIMITED",BBG,"Consumer Durables & Apparel"
"BINGO INDUSTRIES LIMITED",BIN,"Commercial & Professional Services"
"BIOMICS BIOPHARMA LIMITED",BBM,"Class Pend"
"BIONOMICS LIMITED",BNO,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTECH CAPITAL LIMITED",BTC,"Diversified Financials"
"BIOTRON LIMITED",BIT,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOXYNE LIMITED",BXN,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIRCH AND PRESTIGE INVESTMENT GROUP LIMITED",BOP,"Retailing"
"BIRIMIAN LIMITED",BGS,"Materials"
"BISALLOY STEEL GROUP LIMITED",BIS,"Materials"
"BISAN LIMITED",BSN,"Diversified Financials"
"BKI INVESTMENT COMPANY LIMITED",BKI,"Diversified Financials"
"BKM MANAGEMENT LIMITED",BKM,"Commercial & Professional Services"
"BLACK MOUNTAIN RESOURCES LIMITED",BMZ,"Materials"
"BLACK ROCK MINING LIMITED",BKT,"Materials"
"BLACK STAR PETROLEUM LIMITED",BSP,"Energy"
"BLACKGOLD INTERNATIONAL HOLDINGS LIMITED",BGG,"Energy"
"BLACKHAM RESOURCES LIMITED",BLK,"Materials"
"BLACKMORES LIMITED",BKL,"Household & Personal Products"
"BLACKSTONE MINERALS LIMITED",BSX,"Materials"
"BLACKWALL LIMITED",BWF,"Diversified Financials"
"BLACKWALL PROPERTY TRUST",BWR,"Real Estate"
"BLAZE INTERNATIONAL LIMITED",BLZ,"Energy"
"BLIGH RESOURCES LIMITED",BGH,"Materials"
"BLINA MINERALS NL",BDI,"Materials"
"BLUE ENERGY LIMITED",BUL,"Energy"
"BLUE SKY ALTERNATIVE INVESTMENTS LIMITED",BLA,"Diversified Financials"
"BLUE SKY ALTERNATIVES ACCESS FUND LIMITED",BAF,"Not Applic"
"BLUECHIIP LIMITED",BCT,"Technology Hardware & Equipment"
"BLUESCOPE STEEL LIMITED",BSL,"Materials"
"BLUGLASS LIMITED",BLG,"Semiconductors & Semiconductor Equipment"
"BMG RESOURCES LIMITED",BMG,"Materials"
"BOADICEA RESOURCES LIMITED",BOA,"Materials"
"BOART LONGYEAR LIMITED",BLY,"Capital Goods"
"BOD AUSTRALIA LIMITED",BDA,"Retailing"
"BOOM LOGISTICS LIMITED",BOL,"Capital Goods"
"BORA BORA RESOURCES LIMITED",BBR,"Materials"
"BORAL LIMITED.",BLD,"Materials"
"BOSS RESOURCES LIMITED",BOE,"Materials"
"BOTANIX PHARMACEUTICALS LTD",BOT,"Pharmaceuticals, Biotechnology & Life Sciences"
"BOTSWANA METALS LIMITED",BML,"Materials"
"BOUGAINVILLE COPPER LIMITED",BOC,"Materials"
"BOUNTY OIL & GAS NL",BUY,"Energy"
"BOYUAN HOLDINGS LIMITED",BHL,"Real Estate"
"BP CAPITAL MARKETS PLC",BPB,"Not Applic"
"BPH ENERGY LTD",BPH,"Pharmaceuticals, Biotechnology & Life Sciences"
"BPS TECHNOLOGY LIMITED",BPS,"Software & Services"
"BRAIN RESOURCE LIMITED",BRC,"Health Care Equipment & Services"
"BRAINCHIP HOLDINGS LTD",BRN,"Software & Services"
"BRAMBLES LIMITED",BXB,"Commercial & Professional Services"
"BRAVURA SOLUTIONS LIMITED.",BVS,"Software & Services"
"BREAKER RESOURCES NL",BRB,"Materials"
"BREVILLE GROUP LIMITED",BRG,"Retailing"
"BRICKWORKS LIMITED",BKW,"Materials"
"BRIERTY LIMITED",BYL,"Capital Goods"
"BRIGHTON MINING GROUP LIMITED",BTN,"Materials"
"BRISBANE BRONCOS LIMITED",BBL,"Media"
"BROAD INVESTMENTS LIMITED",BRO,"Telecommunication Services"
"BROCKMAN MINING LIMITED",BCK,"Materials"
"BROKEN HILL PROSPECTING LIMITED",BPL,"Materials"
"BRONSON GROUP LIMITED",BGR,"Diversified Financials"
"BROO LTD",BEE,"Food, Beverage & Tobacco"
"BROOKFIELD PRIME PROPERTY FUND",BPA,"Real Estate"
"BROOKSIDE ENERGY LIMITED",BRK,"Energy"
"BRYAH RESOURCES LIMITED",BYH,"Class Pend"
"BSA LIMITED",BSA,"Commercial & Professional Services"
"BT INVESTMENT MANAGEMENT LIMITED",BTT,"Diversified Financials"
"BUBS AUSTRALIA LIMITED",BUB,"Food, Beverage & Tobacco"
"BUDDY PLATFORM LTD",BUD,"Software & Services"
"BUDERIM GROUP LIMITED",BUG,"Food, Beverage & Tobacco"
"BUILDINGIQ, INC",BIQ,"Software & Services"
"BULLETIN RESOURCES LIMITED",BNR,"Materials"
"BULLETPROOF GROUP LIMITED",BPF,"Software & Services"
"BURRABULLA CORPORATION LIMITED",BUA,"Materials"
"BURU ENERGY LIMITED",BRU,"Energy"
"BUXTON RESOURCES LIMITED",BUX,"Materials"
"BUYMYPLACE.COM.AU LIMITED",BMP,"Real Estate"
"BWP TRUST",BWP,"Real Estate"
"BWX LIMITED",BWX,"Household & Personal Products"
"BYRON ENERGY LIMITED",BYE,"Energy"
"BYTE POWER GROUP LIMITED",BPG,"Retailing"
"CABCHARGE AUSTRALIA LIMITED",CAB,"Commercial & Professional Services"
"CABRAL RESOURCES LIMITED",CBS,"Materials"
"CADENCE CAPITAL LIMITED",CDM,"Not Applic"
"CAENEUS MINERALS LTD",CAD,"Materials"
"CAISSE FRANCAISE DE FINANCEMENT LOCAL",DXA,"Not Applic"
"CALTEX AUSTRALIA LIMITED",CTX,"Energy"
"CANN GROUP LIMITED",CAN,"Not Applic"
"CANNINDAH RESOURCES LIMITED",CAE,"Materials"
"CANYON RESOURCES LIMITED",CAY,"Materials"
"CAPE LAMBERT RESOURCES LIMITED",CFE,"Materials"
"CAPILANO HONEY LIMITED",CZZ,"Food, Beverage & Tobacco"
"CAPITAL MINING LIMITED",CMY,"Materials"
"CAPITOL HEALTH LIMITED",CAJ,"Health Care Equipment & Services"
"CAPRAL LIMITED",CAA,"Materials"
"CAPRICORN METALS LTD",CMM,"Materials"
"CAQ HOLDINGS LIMITED",CAQ,"Real Estate"
"CARAVEL MINERALS LIMITED",CVV,"Materials"
"CARBINE RESOURCES LIMITED",CRB,"Materials"
"CARBINE TUNGSTEN LIMITED",CNQ,"Materials"
"CARBON ENERGY LIMITED",CNX,"Energy"
"CARBON MINERALS LIMITED",CRM,"Energy"
"CARDINAL RESOURCES LIMITED",CDV,"Materials"
"CARDNO LIMITED",CDD,"Capital Goods"
"CARINDALE PROPERTY TRUST",CDP,"Real Estate"
"CARLTON INVESTMENTS LIMITED",CIN,"Diversified Financials"
"CARNARVON PETROLEUM LIMITED",CVN,"Energy"
"CARNAVALE RESOURCES LIMITED",CAV,"Materials"
"CARNEGIE CLEAN ENERGY LIMITED",CCE,"Utilities"
"CARPENTARIA EXPLORATION LIMITED",CAP,"Materials"
"CARSALES.COM LIMITED.",CAR,"Software & Services"
"CASH CONVERTERS INTERNATIONAL",CCV,"Retailing"
